Category,IVS_name,IAU_name,RAh,RAm,RAs,DEd,DEm,DEs,D_alp,D_Del,Corr,num_Obs,S-band_total_flux,S-band_unresolved_flux,C-band_total_flux,C-band_unresolved_flux,X-band_total_flux,X-band_unresolved_flux,U-band_total_flux,U-band_unresolved_flux,K-band_total_flux,K-band_unresolved_flux,Type,Cat
C,2357-006,J0000-0022,0,0,1.659825,-0.0,22,10.02434,1.02,2.31,0.042,28,-1.0,-1.0,0.071,0.026,0.039,0.018,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357-141,J0000-1352,0,0,3.124348,-13.0,52,0.75512,1.64,4.0,0.723,21,-1.0,-1.0,0.021,0.009,0.019,0.015,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357+080,J0000+0816,0,0,7.031173,8.0,16,45.05288,1.13,2.07,0.601,39,-1.0,-1.0,-1.00,-1.00,0.029,0.025,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357-379,J0000-3738,0,0,8.414129,-37.0,38,20.67178,1.7,3.9,0.626,69,-1.0,-1.0,0.019,0.019,0.019,0.02,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357+025,J0000+0248,0,0,19.282429,2.0,48,14.6904,0.18,0.39,-0.318,241,-1.0,-1.0,0.039,0.018,0.038,0.024,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357+113,J0000+1139,0,0,19.563979,11.0,39,20.72955,0.7,1.86,-0.188,29,-1.0,-1.0,0.022,0.008,0.018,0.011,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357-326,J0000-3221,0,0,20.399971,-32.0,21,1.23375,0.17,0.32,-0.376,526,0.581,0.436,-1.00,-1.00,0.278,0.133,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357+028,J0000+0307,0,0,27.022483,3.0,7,15.64704,0.16,0.3,-0.217,445,0.115,0.041,0.080,0.047,0.075,0.027,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+289,J0000+2914,0,0,35.127791,29.0,14,35.8349,0.72,1.13,0.396,44,-1.0,-1.0,0.056,0.047,0.028,0.027,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+390,J0000+3918,0,0,41.527593,39.0,18,4.14825,0.42,0.79,-0.344,45,-1.0,-1.0,0.070,0.056,0.094,0.076,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+028,J0000+030B,0,0,44.327696,3.0,7,54.20396,0.68,1.81,-0.157,54,0.035,-1.0,0.078,0.069,0.062,0.048,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,2358+516,J0000+5157,0,0,51.385775,51.0,57,19.89405,5.89,8.38,0.348,11,-1.0,-1.0,0.037,-1.00,0.015,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+406,J0000+4054,0,0,53.081122,40.0,54,1.80914,0.19,0.2,-0.285,609,0.802,0.116,-1.00,-1.00,0.237,0.055,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358-161,J0001-1551,0,1,5.328747,-15.0,51,7.07581,0.13,0.29,-0.364,491,0.313,0.179,-1.00,-1.00,0.192,0.099,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,2358-179,J0001-1741,0,1,6.263905,-17.0,41,26.59831,16.45,16.73,-0.392,5,-1.0,-1.0,0.078,-1.00,0.040,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+605,J0001+6051,0,1,7.099851,60.0,51,22.79831,0.24,0.15,-0.005,577,0.141,0.038,-1.00,-1.00,0.142,0.096,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358-299,J0001-2940,0,1,7.727487,-29.0,40,32.99459,1.33,4.75,0.181,27,-1.0,-1.0,0.063,0.047,0.048,0.035,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+240,J0001+2420,0,1,7.86987,24.0,20,11.70881,0.61,1.24,0.036,35,-1.0,-1.0,0.091,0.042,0.065,0.024,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+189,J0001+1914,0,1,8.621569,19.0,14,33.80172,0.12,0.15,-0.063,6517,0.255,0.195,0.156,0.127,0.251,0.186,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
N,2358+551,J0001+5526,0,1,8.724035,55.0,26,38.67389,7.58,7.26,-0.178,12,-1.0,-1.0,0.045,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+024,J0001+0243,0,1,9.535552,2.0,43,9.60137,0.24,0.55,-0.361,141,0.026,0.021,0.079,0.083,0.067,0.061,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358-006,J0001-0020,0,1,11.19609,-0.0,20,11.56773,0.72,1.81,-0.44,36,-1.0,-1.0,0.022,0.022,0.020,0.019,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
N,2358-351,J0001-3451,0,1,12.442864,-34.0,51,52.11658,2.73,8.63,0.646,20,-1.0,-1.0,0.028,0.037,0.021,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+236,J0001+2358,0,1,14.86456,23.0,58,10.71049,0.43,0.81,0.243,49,-1.0,-1.0,0.056,0.038,0.069,0.052,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358-080,J0001-0746,0,1,18.024917,-7.0,46,26.92205,0.11,0.23,-0.144,851,0.209,0.106,-1.00,-1.00,0.175,0.053,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+474,J0001+4742,0,1,19.041799,47.0,42,0.72167,0.88,1.74,-0.319,35,-1.0,-1.0,0.046,0.030,0.038,0.025,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+443,J0001+4440,0,1,21.385316,44.0,40,27.21596,0.55,0.67,0.546,45,-1.0,-1.0,0.086,0.057,0.075,0.051,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358-004,J0001-0011,0,1,21.466912,-0.0,11,40.31497,1.23,2.87,0.095,28,-1.0,-1.0,0.015,0.017,0.018,0.015,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+251,J0001+2526,0,1,21.673359,25.0,26,55.46107,1.24,2.43,-0.078,27,-1.0,-1.0,0.017,0.010,0.019,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358-252,J0001-2500,0,1,22.672438,-25.0,0,18.84967,0.66,1.53,-0.325,45,-1.0,-1.0,0.084,0.079,0.053,0.057,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
N,2358+062,J0001+0632,0,1,23.694532,6.0,32,30.94646,2.75,13.19,-0.69,51,0.018,0.022,-1.00,-1.00,0.018,0.009,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358-072,J0001-0656,0,1,25.586935,-6.0,56,24.93246,0.41,0.97,-0.539,62,-1.0,-1.0,0.045,0.044,0.046,0.038,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,2358-137,J0001-1326,0,1,26.049975,-13.0,26,33.14264,2.75,7.29,-0.686,8,-1.0,-1.0,0.022,0.013,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+435,J0001+4351,0,1,29.136342,43.0,51,56.10678,1.09,0.82,-0.134,72,-1.0,-1.0,0.031,0.023,0.015,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+209,J0001+2113,0,1,32.370494,21.0,13,36.27458,0.49,0.69,-0.364,56,-1.0,-1.0,0.067,0.066,0.087,0.091,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,2358-422,J0001-4155,0,1,32.75714,-41.0,55,25.33105,78.87,40.37,-0.914,8,0.009,-1.0,-1.00,-1.00,0.008,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+146,J0001+1456,0,1,32.830692,14.0,56,8.08154,0.48,1.11,0.061,28,-1.0,-1.0,0.063,0.028,0.053,0.031,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359+526,J0001+5258,0,1,34.050517,52.0,58,25.0061,2.24,2.23,-0.467,28,-1.0,-1.0,0.014,0.005,0.017,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359+071,J0001+0723,0,1,34.452192,7.0,23,12.91287,0.81,1.76,-0.218,26,-1.0,-1.0,0.071,0.037,0.052,0.03,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359+067,J0001+0701,0,1,43.467626,7.0,1,23.55399,0.74,1.45,-0.151,36,-1.0,-1.0,0.046,0.032,0.040,0.027,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359+719,J0001+7213,0,1,45.957854,72.0,13,58.35309,2.11,0.74,0.192,104,-1.0,-1.0,0.038,0.016,0.034,0.016,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359+548,J0002+5510,0,2,0.529303,55.0,10,38.88182,1.63,0.63,-0.351,42,-1.0,-1.0,0.087,-1.00,0.048,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359+606,J0002+6058,0,2,6.69649,60.0,58,29.83902,3.66,1.45,-0.173,22,-1.0,-1.0,-1.00,-1.00,-1.00,-1.0,-1.00,-1.0,0.08,-1.0,Fus,rfc_2024b
C,2359-221,J0002-2153,0,2,11.981429,-21.0,53,9.86546,0.15,0.29,-0.451,460,0.053,0.06,0.063,0.060,0.137,0.097,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,2359-677,J0002-6726,0,2,15.188,-67.0,26,53.44742,87.13,38.41,0.856,7,0.006,-1.0,-1.00,-1.00,0.009,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,2359+038,J0002+0408,0,2,17.207564,4.0,8,11.13591,3.43,8.34,0.602,7,-1.0,-1.0,0.018,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359+140,J0002+1420,0,2,24.133817,14.0,20,43.8168,0.31,0.69,-0.235,45,-1.0,-1.0,0.104,0.077,0.083,0.075,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359-038,J0002-0331,0,2,30.622664,-3.0,31,40.44242,0.57,1.45,-0.345,63,-1.0,-1.0,0.014,0.012,0.013,0.013,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2359+747,J0002+7459,0,2,31.131631,74.0,59,47.1348,1.45,0.61,-0.728,28,-1.0,-1.0,0.117,0.088,0.108,0.078,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+158,J0002+1605,0,2,40.193916,16.0,5,44.61455,1.0,2.7,0.192,25,-1.0,-1.0,0.026,0.026,0.022,0.017,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000-044,J0002-0411,0,2,41.255213,-4.0,11,55.30909,0.55,1.32,-0.565,62,-1.0,-1.0,0.020,0.019,0.019,0.016,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+302,J0002+3032,0,2,49.250751,30.0,32,41.5957,0.64,1.18,-0.285,27,-1.0,-1.0,0.092,0.061,0.071,0.048,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000-215,J0002-2114,0,2,49.766939,-21.0,14,20.10656,0.4,1.01,0.103,28,-1.0,-1.0,0.106,0.049,0.104,0.057,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+294,J0002+2942,0,2,52.43144,29.0,42,53.22486,0.72,1.32,-0.029,31,-1.0,-1.0,0.020,0.014,0.028,0.017,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,0000-566,J0002-5621,0,2,53.468281,-56.0,21,10.7826,11.05,5.08,0.516,7,-1.0,-1.0,-1.00,-1.00,0.205,0.142,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000-006,J0002-0024,0,2,57.17531,-0.0,24,47.27586,0.18,0.4,-0.307,287,-1.0,-1.0,0.037,0.027,0.030,0.027,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
N,0000+700,J0002+7017,0,2,57.821112,70.0,17,42.48895,30.51,6.56,0.458,13,-1.0,-1.0,0.034,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+183,J0003+1837,0,3,1.160217,18.0,37,59.01099,0.51,1.42,-0.28,36,-1.0,-1.0,0.084,0.032,0.053,0.02,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000-067,J0003-0626,0,3,1.831593,-6.0,26,59.59109,0.48,1.09,-0.554,64,-1.0,-1.0,0.083,0.023,0.053,0.012,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,0000+582,J0003+5831,0,3,8.349285,58.0,31,41.89434,39.81,16.76,-0.156,5,-1.0,-1.0,0.019,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,0000-550,J0003-5444,0,3,10.630603,-54.0,44,55.99209,25.31,6.93,-0.119,9,-1.0,-1.0,-1.00,-1.00,0.007,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+162,J0003+1629,0,3,11.864278,16.0,29,3.10962,1.09,2.54,-0.322,36,-1.0,-1.0,0.035,0.028,0.019,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+274,J0003+2740,0,3,13.087662,27.0,40,44.96929,0.36,0.81,-0.446,45,-1.0,-1.0,0.073,0.037,0.084,0.039,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,0000-593,J0003-5905,0,3,13.334354,-59.0,5,47.83263,33.39,13.23,-0.437,6,-1.0,-1.0,-1.00,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+019,J0003+0214,0,3,14.962863,2.0,14,57.48301,0.19,0.46,-0.46,246,-1.0,-1.0,0.039,0.033,0.031,0.029,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000-199,J0003-1941,0,3,15.949415,-19.0,41,50.40236,0.15,0.32,-0.437,496,0.212,0.13,-1.00,-1.00,0.133,0.057,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+247,J0003+2459,0,3,16.31229,24.0,59,38.37851,0.56,0.87,0.319,45,-1.0,-1.0,0.059,0.040,0.048,0.045,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000-197,J0003-1927,0,3,18.675015,-19.0,27,22.35575,0.14,0.33,-0.332,702,0.134,0.063,-1.00,-1.00,0.097,0.051,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+212,J0003+2129,0,3,19.350005,21.0,29,44.50825,0.14,0.21,-0.176,591,0.163,0.147,0.203,0.150,0.153,0.115,0.128,0.107,-1.0,-1.0,Fus,rfc_2024b
U,0000-530,J0003-5247,0,3,19.600064,-52.0,47,27.28454,22.91,9.31,-0.335,8,-1.0,-1.0,-1.00,-1.00,0.013,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000-177,J0003-1727,0,3,21.954752,-17.0,27,11.87502,0.16,0.36,-0.13,419,0.203,0.077,0.156,0.074,0.151,0.065,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+070,J0003+0717,0,3,23.241375,7.0,17,13.86177,0.48,1.04,-0.038,45,-1.0,-1.0,0.030,0.010,0.023,0.012,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+218,J0003+2204,0,3,24.522812,22.0,4,55.74999,0.65,1.33,0.292,45,-1.0,-1.0,0.010,0.008,0.010,0.011,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000-160,J0003-1547,0,3,27.264168,-15.0,47,5.4556,0.16,0.38,-0.42,413,0.069,0.061,-1.00,-1.00,0.086,0.053,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0000+121,J0003+1227,0,3,33.592006,12.0,27,48.24745,0.97,1.93,0.188,49,-1.0,-1.0,0.076,0.035,0.033,0.022,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+128,J0003+1305,0,3,35.246457,13.0,5,41.78515,0.83,1.92,0.112,50,-1.0,-1.0,0.016,0.012,0.021,0.017,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+628,J0003+6307,0,3,36.511581,63.0,7,55.87067,0.74,0.83,-0.375,36,-1.0,-1.0,0.090,0.055,0.077,0.049,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001-114,J0003-1108,0,3,45.234757,-11.0,8,18.7079,0.78,2.12,-0.251,36,-1.0,-1.0,0.013,0.013,0.016,0.012,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+478,J0003+4807,0,3,46.041596,48.0,7,4.13551,0.3,0.29,-0.058,590,0.277,0.155,-1.00,-1.00,0.082,0.027,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+158,J0003+1605,0,3,46.095702,16.0,5,47.96041,0.63,1.47,-0.031,45,-1.0,-1.0,0.042,0.033,0.021,0.012,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+118,J0003+1210,0,3,53.276435,12.0,10,23.96348,0.78,2.16,0.01,21,-1.0,-1.0,0.048,0.038,0.050,0.042,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
N,0001-387,J0003-3827,0,3,53.734367,-38.0,27,2.71336,6.49,27.66,0.177,13,-1.0,-1.0,0.090,-1.00,0.031,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+375,J0003+3747,0,3,54.116583,37.0,47,48.3212,0.84,0.89,0.086,79,-1.0,-1.0,0.030,0.029,0.018,0.018,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+298,J0003+3010,0,3,55.658052,30.0,10,2.59466,0.51,1.13,0.105,45,-1.0,-1.0,0.047,0.047,0.049,0.049,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001-111,J0003-1053,0,3,56.331782,-10.0,53,1.91929,1.5,3.63,0.406,24,-1.0,-1.0,0.019,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+324,J0003+3241,0,3,56.338444,32.0,41,57.59679,0.62,1.17,-0.255,28,-1.0,-1.0,0.058,0.051,0.056,0.042,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+059,J0003+0615,0,3,57.95218,6.0,15,53.09642,0.66,1.31,-0.142,36,-1.0,-1.0,0.053,0.045,0.049,0.026,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+084,J0003+0841,0,3,59.230099,8.0,41,38.18584,0.61,1.25,0.059,90,-1.0,-1.0,-1.00,-1.00,0.015,0.013,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+360,J0004+3617,0,4,4.212271,36.0,17,20.40779,1.02,1.91,-0.228,28,-1.0,-1.0,0.039,0.033,0.027,0.012,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001-120,J0004-1148,0,4,4.914995,-11.0,48,58.38599,0.12,0.27,-0.339,404,0.601,0.462,-1.00,-1.00,0.549,0.203,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001-440,J0004-4345,0,4,7.25775,-43.0,45,10.14487,0.59,0.94,-0.342,48,-1.0,-1.0,-1.00,-1.00,0.272,0.231,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001-235,J0004-2318,0,4,8.948245,-23.0,18,40.87997,0.97,3.64,-0.514,30,-1.0,-1.0,0.061,0.035,0.039,0.013,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+080,J0004+0821,0,4,10.592908,8.0,21,57.5437,0.8,1.79,-0.268,36,-1.0,-1.0,0.017,0.012,0.015,0.01,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001-531,J0004-5254,0,4,14.013589,-52.0,54,58.70519,4.12,1.93,0.083,36,-1.0,-1.0,-1.00,-1.00,0.023,0.024,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+459,J0004+4615,0,4,16.127641,46.0,15,17.97078,0.15,0.13,0.058,824,0.166,0.16,-1.00,-1.00,0.168,0.154,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001-083,J0004-0802,0,4,21.768345,-8.0,2,35.36479,2.04,4.41,0.424,18,-1.0,-1.0,-1.00,-1.00,0.030,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0001+263,J0004+2637,0,4,23.776245,26.0,37,52.40023,1.41,1.71,-0.416,39,-1.0,-1.0,0.072,0.008,0.041,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,0001+415,J0004+4151,0,4,25.285169,41.0,51,35.229,7.13,14.74,-0.206,9,-1.0,-1.0,0.028,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002+294,J0004+2946,0,4,34.639716,29.0,46,15.78959,1.1,1.91,0.269,24,-1.0,-1.0,0.038,0.003,0.041,0.016,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002-478,J0004-4736,0,4,35.655476,-47.0,36,19.60393,0.21,0.23,0.267,820,0.326,0.284,-1.00,-1.00,0.251,0.21,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002+200,J0004+2019,0,4,35.758284,20.0,19,42.31773,0.15,0.21,-0.123,341,0.301,0.22,-1.00,-1.00,0.321,0.167,0.329,0.183,-1.0,-1.0,Fus,rfc_2024b
U,0002+609,J0004+6115,0,4,46.125182,61.0,15,22.74877,16.02,8.08,0.826,9,-1.0,-1.0,0.036,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,0002+576,J0004+5754,0,4,50.263918,57.0,54,57.76183,16.71,36.7,-0.172,4,-1.0,-1.0,-1.00,-1.00,-1.00,-1.0,-1.00,-1.0,0.046,0.06,Fus,rfc_2024b
C,0002+569,J0004+5710,0,4,53.409336,57.0,10,51.27752,0.68,0.45,-0.085,90,-1.0,-1.0,-1.00,-1.00,0.047,0.038,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002+541,J0005+5428,0,5,4.363343,54.0,28,24.92445,0.14,0.11,-0.121,2398,0.296,0.211,-1.00,-1.00,0.325,0.159,-1.00,-1.0,0.337,0.108,Fus,rfc_2024b
N,0002-032,J0005-0258,0,5,5.471317,-2.0,58,48.94183,3.04,6.88,-0.345,14,-1.0,-1.0,0.013,-1.00,0.014,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002-350,J0005-3445,0,5,5.925088,-34.0,45,49.65523,0.23,0.48,-0.055,494,0.097,0.082,-1.00,-1.00,0.101,0.079,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002-018,J0005-0132,0,5,7.071823,-1.0,32,45.13513,0.17,0.42,-0.244,228,-1.0,-1.0,0.039,0.023,0.034,0.018,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002-170,J0005-1648,0,5,17.933781,-16.0,48,4.67853,0.14,0.32,-0.398,563,0.184,0.132,-1.00,-1.00,0.136,0.08,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002+051,J0005+0524,0,5,20.215505,5.0,24,10.80307,0.12,0.21,-0.225,864,0.19,0.1,-1.00,-1.00,0.116,0.062,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0002+691,J0005+6923,0,5,30.470652,69.0,23,59.05394,5.51,2.72,-0.14,25,-1.0,-1.0,0.137,0.009,0.074,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,0003+633,J0005+6340,0,5,37.080239,63.0,40,28.58837,9.72,6.73,-0.67,9,-1.0,-1.0,0.011,-1.00,-1.00,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+318,J0005+3206,0,5,40.326109,32.0,6,5.65037,3.15,2.94,-0.054,14,-1.0,-1.0,0.033,-1.00,0.020,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+195,J0005+1950,0,5,40.736872,19.0,50,21.37946,1.0,2.19,0.287,36,-1.0,-1.0,0.026,-1.00,0.015,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003-057,J0005-0530,0,5,42.07097,-5.0,30,9.29307,0.63,1.55,-0.625,63,-1.0,-1.0,0.017,0.017,0.018,0.017,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+196,J0005+1953,0,5,48.82362,19.0,53,17.8505,1.19,2.44,0.198,49,-1.0,-1.0,0.039,0.022,0.028,0.013,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+040,J0005+0418,0,5,56.850306,4.0,18,54.37583,0.44,1.16,0.186,28,-1.0,-1.0,0.040,0.040,0.030,0.025,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+380,J0005+3820,0,5,57.175394,38.0,20,15.14901,0.14,0.12,-0.231,4140,0.532,0.31,-1.00,-1.00,0.557,0.238,0.595,0.356,-1.0,-1.0,Fus,rfc_2024b
C,0003+119,J0005+1214,0,5,57.918199,12.0,14,44.87044,0.82,2.39,0.018,23,-1.0,-1.0,0.066,0.036,0.018,0.009,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
N,0003-282,J0005-2758,0,5,58.557323,-27.0,58,57.65115,4.18,12.44,0.691,18,-1.0,-1.0,0.016,-1.00,0.013,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+158,J0005+1609,0,5,59.237773,16.0,9,49.02167,0.13,0.19,-0.299,932,0.143,0.086,-1.00,-1.00,0.196,0.086,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003-318,J0006-3132,0,6,0.379993,-31.0,32,14.90003,1.29,3.24,-0.164,18,-1.0,-1.0,0.043,0.039,0.040,0.04,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003-302,J0006-2955,0,6,1.123365,-29.0,55,50.09687,0.24,0.48,-0.114,328,0.133,0.124,-1.00,-1.00,0.105,0.056,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
N,0003-428,J0006-4234,0,6,2.040631,-42.0,34,40.12216,7.36,28.62,0.196,20,-1.0,-1.0,0.049,-1.00,0.043,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003-283,J0006-2801,0,6,3.982775,-28.0,1,41.37371,1.52,2.87,-0.51,49,-1.0,-1.0,0.019,0.013,0.025,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+012,J0006+0131,0,6,6.086018,1.0,31,25.53308,0.34,0.78,0.018,126,-1.0,-1.0,-1.00,-1.00,0.012,0.012,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+340,J0006+3422,0,6,7.382567,34.0,22,20.40586,0.16,0.2,-0.104,685,0.06,0.062,-1.00,-1.00,0.064,0.056,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,0003+505,J0006+5050,0,6,8.24977,50.0,50,4.41268,0.16,0.14,0.026,432,-1.0,-1.0,-1.00,-1.00,-1.00,-1.0,-1.00,-1.0,0.157,0.135,Fus,rfc_2024b
